,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Busselton,-33.65,115.33,93.99,9,4,5.68,AU,1607657665
1,Tuktoyaktuk,69.45,-133.04,-9.4,76,75,11.41,CA,1607657665
2,Mar del Plata,-38.0,-57.56,73.99,69,0,11.41,AR,1607657429
3,Punta Arenas,-53.15,-70.92,44.6,81,0,5.82,CL,1607657665
4,Ushuaia,-54.8,-68.3,50.0,76,75,4.92,AR,1607657666
5,Karratha,-20.74,116.85,73.65,85,100,19.62,AU,1607657605
6,Nanortalik,60.14,-45.24,24.98,82,0,5.17,GL,1607657666
7,Kavieng,-2.57,150.8,82.96,76,100,10.16,PG,1607657666
8,Ust-Tsilma,65.44,52.15,17.83,94,81,6.64,RU,1607657666
9,Saint Paul Harbor,57.79,-152.41,19.4,85,1,5.82,US,1607657667
10,Sorrento,40.63,14.37,48.99,81,75,6.93,IT,1607657667
11,Cherskiy,68.75,161.3,7.18,85,100,8.21,RU,1607657667
12,Hermanus,-34.42,19.23,57.99,94,99,9.17,ZA,1607657667
13,Nikolskoye,59.7,30.79,17.01,78,0,8.95,RU,1607657668
14,Challans,46.84,-1.87,54.0,100,90,11.41,FR,1607657668
15,Tasiilaq,65.61,-37.64,24.8,62,98,4.7,GL,1607657668
16,Saint-Joseph,-21.37,55.62,77.0,57,0,20.8,RE,1607657668
17,Souillac,-20.52,57.52,77.0,65,20,8.05,MU,1607657668
18,Ayagoz,47.97,80.44,5.56,94,99,7.7,KZ,1607657668
19,Hithadhoo,-0.6,73.08,82.15,75,6,12.97,MV,1607657669
20,Goderich,43.75,-81.72,37.4,86,91,9.17,CA,1607657562
21,Mahébourg,-20.41,57.7,77.0,65,20,8.05,MU,1607657669
22,Toyooka,35.53,134.83,55.4,71,75,3.36,JP,1607657669
23,Shingū,33.73,135.98,62.6,45,40,3.36,JP,1607657426
24,New Norfolk,-42.78,147.06,72.0,35,0,1.99,AU,1607657669
25,Qaanaaq,77.48,-69.36,16.74,93,100,8.5,GL,1607657669
